Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
3967,2023-11-08,193.01368713378906,195.43801932997218,192.6873297977558,194.8785536761445,7435543
3968,2023-11-09,195.62452697753906,196.27722750134134,192.1745262993234,193.29344351552788,13777877
3969,2023-11-10,196.88328552246094,198.6082928178688,195.43802529030103,196.2772095688328,12066023
3970,2023-11-13,197.95559692382812,200.56641306858404,196.46369791888094,197.6758640819251,11352269
3971,2023-11-15,195.9508514404297,200.47315861662355,195.62450832354952,200.47315861662355,19182861
3972,2023-11-16,196.94891357421875,198.51728961333515,195.5231250862241,196.4736507448872,27533260
3973,2023-11-17,199.13511657714844,200.27574441571852,196.66374417368837,197.42416756735838,16705395
3974,2023-11-20,198.9450225830078,200.75101552678328,198.51728893883683,199.70544600812872,11156900
3975,2023-11-21,198.61233520507812,199.75296310462474,197.66180953814415,199.6103900561329,9608081
3976,2023-11-22,201.1312255859375,202.08175119928526,197.89942979823314,197.89942979823314,13079580
3977,2023-11-23,200.46583557128906,202.55700341440445,198.89747419282162,201.55894867180285,11382709
3978,2023-11-24,200.03810119628906,201.60647707257175,199.13510481508516,200.84605372381674,7250200
3979,2023-11-28,199.80047607421875,203.84020983084918,199.13511106213588,203.84020983084918,15629209
3980,2023-11-29,200.60842895507812,200.9886333900701,198.75490695272057,199.895534761566,10062023
3981,2023-11-30,198.61233520507812,202.27186482432214,197.94697013899847,199.99059452135825,60354322
3982,2023-12-01,199.80047607421875,201.9391586512584,199.0875818818722,201.03616224172666,20719909
3983,2023-12-04,202.3668975830078,203.50753992382784,201.22626974605765,201.22626974605765,27914088
3984,2023-12-05,211.30184936523438,212.2048458083256,201.08369889518062,203.12732318764338,40709207
3985,2023-12-06,213.29794311523438,215.05642131204104,211.49195024057073,214.81878990727634,29544730
3986,2023-12-07,218.6208953857422,220.90215110126275,213.15537300109864,213.86826722518256,24534268
3987,2023-12-08,217.2901611328125,221.85267247630486,215.2465223606646,220.3318401964307,22206320
3988,2023-12-11,219.5238800048828,221.37740198683693,215.3415732505315,216.71983244204253,19106395
3989,2023-12-12,219.9040985107422,221.75762048908192,218.14562038798414,218.62088317750045,14355329
3990,2023-12-13,225.22705078125,225.74984279164684,219.19122158156404,219.57142604155968,26878281
3991,2023-12-14,220.6170196533203,225.84491097682204,219.6664939581382,225.51222118195986,29972018
3992,2023-12-15,225.60726928710938,226.3201635260568,215.9118960343281,223.37352820352595,41341690
3993,2023-12-18,220.37937927246094,225.17952223493756,219.999160307519,225.17952223493756,29051897
3994,2023-12-19,221.99525451660156,222.80319256603946,219.42883832355085,220.6645099878523,12612164
3995,2023-12-20,215.91189575195312,223.75373237011902,215.00889928457477,223.32599872808407,20400245
3996,2023-12-21,220.85464477539062,221.6625828909196,211.68206337628502,213.34548329539078,17755207
3997,2023-12-22,220.28433227539062,222.61311735336378,219.09617514337666,221.4724894074046,9735375
3998,2023-12-26,221.80516052246094,224.13394540427203,219.61894868293356,220.52194512642725,6772092
3999,2023-12-27,222.47052001953125,224.18146900367952,220.99720243585165,223.37351644053822,10231881
4000,2023-12-28,227.2706756591797,228.07861371293905,222.51804768223212,223.46857327762166,39164340
4001,2023-12-29,225.4646759033203,226.4627307127971,223.13589101712117,226.03499708126992,12665999
4002,2024-01-01,226.4627227783203,227.65087977086134,224.7042446278118,226.130033018861,5952776
4003,2024-01-02,226.08251953125,228.22120212907143,224.46661440980031,228.12614376762042,9128513
4004,2024-01-03,225.3220977783203,226.89045922650013,222.99331294465009,224.324042991356,8284439
4005,2024-01-04,229.50440979003906,231.07278577726413,225.3221028318456,226.22509927692488,19663959
4006,2024-01-05,229.31431579589844,232.87878702588648,227.46079365707874,230.02721004189604,16345257
4007,2024-01-08,230.35987854003906,233.11639690165055,228.50634206861253,230.40739321561884,13585746
4008,2024-01-09,230.31236267089844,232.5460891954018,229.55193926737536,230.59752326020336,8688409
4009,2024-01-10,227.31820678710938,230.122269099537,226.22510807485057,229.07668506739068,16872195
4010,2024-01-11,229.97967529296875,231.07278847936942,227.36572978756354,228.36378460858322,18812468
4011,2024-01-12,227.65090942382812,230.64505963349066,226.98554432211105,230.50248657736253,11296498
4012,2024-01-15,229.21925354003906,229.55194331740952,225.27457791397953,228.50635930613407,12597366
4013,2024-01-16,227.22314453125,230.4073965461929,225.93992918692396,229.69450235576053,7478450
4014,2024-01-17,227.36572265625,229.26677387328198,225.93993424347602,226.70035763106276,13620300
4015,2024-01-18,221.90020751953125,224.03889020724034,214.8663235926139,216.00695145861803,25522629
4016,2024-01-19,223.75372314453125,225.22704074312347,220.90214631004426,223.3735187014809,20931080
4017,2024-01-23,226.1775665283203,234.58972399806527,224.56167588831065,229.0766725463825,27492163
4018,2024-01-24,234.0194091796875,234.77983259087733,223.3735249346404,224.466623616815,28309825
